time,window,target_i,C1,C2,C3,C4,C5,C6,Enterobacteriaceae,Lactobacillaceae,Paenibacillaceae
16,14,C2,0.08369516377628561,0.0016547765069543923,0.038778710323540376,0.022266697342799065,0.0766338780655319,-0.03698895284343679,-2.2633612643854764e-5,0.05723324728918643,0.047256823358213317
16,14,C3,-0.23909024916393098,-0.07475367367086667,0.04405472818986566,-0.04133205658328497,-0.1225351832560694,0.18885597328678452,0.026708381559223483,-0.23043345754095523,-0.3067138378919622
16,14,C4,0.015157804699255232,-0.05751663178943759,0.12244997003458077,0.003434708909988692,0.09033135409545413,0.0472490507670528,0.017278401643478627,-0.07314835514095043,-0.12810726968381325
16,14,C5,-0.09894655797827559,-0.09966321623664783,0.15872424367975393,-0.05608386012674168,-0.015308226716341378,0.11670321608016282,0.027315726937828296,-0.14197605932308824,-0.230153577979251
16,14,C6,-2.5453831699990084e-4,0.010687295882865225,-0.03337329697166788,4.259581108958834e-4,-0.0038614309830924485,-0.012226123668994261,-0.002159097015492476,0.008745542022580466,0.013474060493368724
16,14,Enterobacteriaceae,-0.01274230147277883,-0.004469111285958792,-0.003576108745300078,-0.008998967166940345,-0.012367861676515981,0.0035598044672684927,1.7546060562624114e-5,-0.018242033259481302,-0.018877446272825595
16,14,Lactobacillaceae,-0.022751467830568903,-0.052960997821807174,0.12833737509068072,0.06102573842063792,0.05238879535515412,0.08667963072855395,0.025860408702347192,-0.11015923692618045,-0.1699809523656782
16,14,Paenibacillaceae,0.05569161364907354,-0.021206712919048493,0.13291856689769124,0.08673387186364433,0.09801677619667525,0.04391482967654902,0.0225953934790964,0.019383718575688925,-0.06377631798270225
17.9,15,C1,-0.09618796359274276,-0.08314482473355828,0.14927360895873484,-0.007177062565059352,0.009555988088497865,0.13379625921611676,0.026706688236334552,-0.13625745529556213,-0.2238794768697119
17.9,15,C2,0.07107613855411353,-0.0011279814924824586,0.042518719045946576,0.024486729363598327,0.07220609512345783,-0.02487285520923091,0.0012929234204117795,0.04694932936683495,0.0333160550900147
17.9,15,C3,-0.21267018640645638,-0.06809649591248608,0.046700019120743695,-0.031522648521373604,-0.10290878148729675,0.17328808414272395,0.024719656091620423,-0.2055476423744384,-0.277443909906223
17.9,15,C4,0.008120247681924297,-0.055811752494757845,0.12549058506642666,0.013839465744032591,0.09041537215099633,0.05754516913871529,0.017938180321958038,-0.07067664970577545,-0.12973743566015514
17.9,15,C5,-0.09788323698570144,-0.09857405291594432,0.17595920722142427,-0.027651489910293328,0.008131528181395972,0.13555274204016993,0.029661280789231675,-0.13863922265013076,-0.23769542409016076
17.9,15,C6,0.005604085401433419,0.01517283266444796,-0.049834431198394584,-0.012554712212281096,-0.01680342995800018,-0.028937895786258074,-0.0050134860148074705,0.0141246312997784,0.031060781140353814
17.9,15,Enterobacteriaceae,-0.01042691785565561,-0.00316617194090589,-0.00596706810862537,-0.009748283033164457,-0.012821133483313376,6.503381159468339e-4,-4.103295960999075e-4,-0.015251877014815797,-0.014004034725531939
17.9,15,Lactobacillaceae,-0.03471705252835298,-0.061216246613463504,0.16411317440648424,0.08570195037671527,0.07902359198573469,0.12187691932063115,0.030556581687928096,-0.11359198159315344,-0.19784401075056904
17.9,15,Paenibacillaceae,0.039825104490823306,-0.02773596792207982,0.1490917187822025,0.09656938991230674,0.10722509342411946,0.06721294333017244,0.024774253801139026,0.0068729779211773095,-0.08631544754223884
