Time,Family,Abundance,Abundance.family,Sample
15,Clostridiaceae,0,0,m5
15,Comamonadaceae,0,0,m5
15,Corynebacteriaceae,0,0,m5
15,Deferribacteraceae,0,0,m5
15,Desulfovibrionaceae,0,0,m5
15,Eggerthellaceae,0,0,m5
15,Enterobacteriaceae,21214,0.3874915520485141,m5
15,Enterococcaceae,0,0,m5
15,Erysipelotrichaceae,0,0,m5
15,Lachnospiraceae,0,0,m5
15,Lactobacillaceae,2074,0.03788335433905054,m5
15,Marinifilaceae,0,0,m5
15,Microbacteriaceae,6,1.0959504630390706e-4,m5
15,Monoglobaceae,0,0,m5
15,Muribaculaceae,0,0,m5
15,Oscillospiraceae,0,0,m5
15,Paenibacillaceae,31445,0.5743693718377263,m5
15,Peptococcaceae,0,0,m5
15,Peptostreptococcaceae,0,0,m5
15,Prevotellaceae,0,0,m5
15,Propionibacteriaceae,0,0,m5
15,Rhizobiaceae,0,0,m5
15,Rikenellaceae,0,0,m5
15,Ruminiclostridium,0,0,m5
15,Ruminococcaceae,0,0,m5
15,Saccharimonadaceae,0,0,m5
15,Sutterellaceae,0,0,m5
15,Tannerellaceae,0,0,m5
15,UCG-010,0,0,m5
15,[Eubacterium] coprostanoligenes group,0,0,m5
16,Acholeplasmataceae,0,0,m5
16,Akkermansiaceae,0,0,m5
16,Anaerovoracaceae,0,0,m5
16,Atopobiaceae,0,0,m5
16,Bacillaceae,0,0,m5
16,Bacteroidaceae,0,0,m5
16,Beijerinckiaceae,0,0,m5
16,Bifidobacteriaceae,0,0,m5
16,Butyricicoccaceae,0,0,m5
16,Chitinophagaceae,33,7.075168303246001e-4,m5
16,Christensenellaceae,0,0,m5
16,Clostridiaceae,0,0,m5
16,Comamonadaceae,0,0,m5
